BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
871039400RR0001	CANARY RESEARCH INSTITUTE FOR MINING, ENVIRONMENT, AND HEALTH	Registered	Charity	2003-11-03		0001	Advancement of Education	0014	210 - 4 FLORENCE ST 	OTTAWA	ON	CA	K2P0W7
898300306RR0001	CANMORE AND AREA HEALTH CARE FOUNDATION	Registered	Charity	2003-04-01		0002	Other purposes beneficial to the community	0210	1100 HOSPITAL PL 	CANMORE	AB	CA	T1W1N2
886302595RR0001	CAPE BRETON CENTRE FOR SEXUAL HEALTH	Registered	Charity	1983-04-01		0001	Relief of Poverty	0001	440 GEORGE ST PO BOX 1598	SYDNEY	NS	CA	B1P1K3
118837590RR0002	CAPE BRETON HEALTHCARE COMPLEX	Revoked-Failure to File	Charity	2001-05-05		0001	Other purposes beneficial to the community	0100	716 KING STREET 	NEW WATERFORD	NS	CA	B1H3Z5
891007775RR0001	CARBERRY PLAINS DISTRICT HEALTH CENTRE FOUNDATION INC	Revoked-Voluntary	Charity	2000-03-18		0002	Other purposes beneficial to the community	0210	BOX 200 	CARBERRY	MB	CA	R0K0H0
124339151RR0001	CARDIAC HEALTH FOUNDATION OF CANADA	Revoked-Voluntary	Charity	2022-03-19		0001	Relief of Poverty	0001	2601 - 44 CHARLES ST W 	TORONTO	ON	CA	M4Y1R7
890658396RR0001	CARDSTON AND DISTRICT HEALTH CARE AUXILIARY ASSOCIATION	Registered	Charity	1994-03-28		0001	Other purposes beneficial to the community	0210	BOX 1440 	CARDSTON	AB	CA	T0K0K0
888397031RR0001	CARDSTON AND DISTRICT HEALTH FOUNDATION	Registered	Charity	1997-04-01		0002	Other purposes beneficial to the community	0210	PO BOX 1440 	CARDSTON	AB	CA	T0K0K0
119284768RR0001	CAREFOR HEALTH & COMMUNITY SERVICES	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0100	760 BELFAST RD 	OTTAWA	ON	CA	K1G6M8
119042190RR0001	CARITAS HEALTH GROUP - EMPLOYEE'S CHARITY TRUST	Revoked-Failure to File	Charity	2019-03-02		0001	Other purposes beneficial to the community	0210	9R,11111 JASPER AVENUE 	EDMONTON	AB	CA	T5K0L4
890982176RR0001	CARLTON TRAIL HEALTH FOUNDATION INC	Revoked-Failure to File	Charity	2025-07-05		0001	Other purposes beneficial to the community	0110	PO BOX 940 	LANIGAN	SK	CA	S0K2M0
132251836RR0001	CARMAN DISTRICT HEALTH CARE FOUNDATION INC	Revoked-Voluntary	Charity	2011-07-16		0002	Other purposes beneficial to the community	0210	BOX 880 	CARMAN	MB	CA	R0G0J0
118839182RR0001	CARMAN HEALTH AUXILIARY	Registered	Charity	1977-06-01		0002	Other purposes beneficial to the community	0110	BOX 2268 	CARMAN	MB	CA	R0G0J0
130178734RR0001	CASA CHILD, ADOLESCENT AND FAMILY MENTAL HEALTH	Registered	Charity	1993-05-29		0001	Relief of Poverty	0001	406 - 10011 109 ST NW 	EDMONTON	AB	CA	T5J3S8
119220572RR0001	CATHOLIC HEALTH ASSOCIATION OF BRITISH COLUMBIA	Registered	Charity	1979-04-01		0001	Other purposes beneficial to the community	0100	9387 HOLMES ST 	BURNABY	BC	CA	V3N4C3
106880263RR0001	CATHOLIC HEALTH ASSOCIATION OF CANADA TRUST	Revoked-Voluntary	Charity	2002-11-02		0001	Other purposes beneficial to the community	0210	1247 KILBORN 	OTTAWA	ON	CA	K1H6K9
118841162RR0001	CATHOLIC HEALTH ASSOCIATION OF MANITOBA	Registered	Charity	1970-10-01		0001	Other purposes beneficial to the community	0110	409 TACHE AVE SBGH EDUCATION BLDG	WINNIPEG	MB	CA	R2H2A6
118841170RR0001	CATHOLIC HEALTH ASSOCIATION OF SASKATCHEWAN	Registered	Charity	1973-10-01		0001	Other purposes beneficial to the community	0110	214 AVENUE M S 	SASKATOON	SK	CA	S7M2K4
882585573RR0001	CATHOLIC HEALTH CORPORATION OF ONTARIO	Registered	Charity	1998-09-01		0001	Other purposes beneficial to the community	0110	5800 - 40 KING ST W 	TORONTO	ON	CA	M5H3S1
861962280RR0001	CENTRAL ALBERTA'S SAFE HARBOUR SOCIETY FOR HEALTH AND HOUSING	Registered	Charity	2005-06-27		0001	Other purposes beneficial to the community	0100	5246 53 AVE 	RED DEER	AB	CA	T4N5K2
892658360RR0001	CENTRAL BUTTE & DISTRICT HEALTH CARE FOUNDATION INC.	Registered	Charity	1993-04-15		0002	Other purposes beneficial to the community	0210	PO BOX 582 	CENTRAL BUTTE	SK	CA	S0H0T0
899449854RR0001	CENTRAL CARIBOO-CHILCOTIN HEALTH FOUNDATION	Revoked-Failure to File	Charity	1997-07-12		0002	Other purposes beneficial to the community	0210	517 NORTH 6TH AVENUE 	WILLIAMS LAKE	BC	CA	V2G2G8
890085392RR0001	CENTRAL LINK MENTAL HEALTH CLINIC INC	Revoked-Failure to File	Charity	2011-05-28		0001	Other purposes beneficial to the community	0100	393 KING ST E 	TORONTO	ON	CA	M5A1L3
861683498RR0001	CENTRAL NORTHEAST HEALTH FOUNDATION INC.	Registered	Charity	2005-04-01		0002	Other purposes beneficial to the community	0210	125 TRANS CANADA HWY 	GANDER	NL	CA	A1V1P7
866945157RR0001	CENTRAL OKANAGAN ASSOCIATION FOR CARDIAC HEALTH	Registered	Charity	1999-01-01		0001	Other purposes beneficial to the community	0110	204 - 2622 PANDOSY ST 	KELOWNA	BC	CA	V1Y1V6
118843572RR0001	CENTRAL ONTARIO DIABETES HEALTH AND EDUCATION CENTRE INCORPORATED	Revoked-Voluntary	Charity	2000-05-27		0001	Other purposes beneficial to the community	0100	49 HIGH ST. 	BARRIE	ON	CA	L4N5J4
133511725RR0001	CENTRAL PEACE HEALTH COMPLEX AUXILIARY CLUB	Registered	Charity	1988-04-11		0001	Other purposes beneficial to the community	0110	BOX 866 	SPIRIT RIVER	AB	CA	T0H3G0
870782695RR0001	CENTRAL REGIONAL HEALTH BOARD	Revoked-Voluntary	Charity	2004-12-18		0001	Other purposes beneficial to the community	0110	1278 TOWER ROAD 	HALIFAX	NS	CA	B3H2Y9
870092152RR0001	CENTRE DE SANTE SAINT-BONIFACE INC/SAINT-BONIFACE HEALTH CENTRE INC	Registered	Charity	1999-04-01		0001	Other purposes beneficial to the community	0100	170 GOULET ST 	WINNIPEG	MB	CA	R2H0R7
872523915RR0001	CENTRE DE SANTE SAINT-THOMAS HEALTH CENTRE	Revoked-Failure to File	Charity	2017-09-30		0001	Other purposes beneficial to the community	0110	8411-91 RUE NORTH WEST 	EDMONTON	AB	CA	T6C1Z9
869673095RR0001	CENTRE FOR ADDICTION AND MENTAL HEALTH	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0100	1001 QUEEN ST W 	TORONTO	ON	CA	M6J1H4
118865104RR0001	CENTRE FOR ADDICTION AND MENTAL HEALTH EMPLOYEES' CHARITY TRUST	Revoked-Failure to File	Charity	2002-06-22		0002	Other purposes beneficial to the community	0210	33 RUSSELL STREET 	TORONTO	ON	CA	M5S2S1
106932320RR0001	CENTRE FOR ADDICTION AND MENTAL HEALTH FOUNDATION	Registered	Charity	1988-04-01		0002	Other purposes beneficial to the community	0210	100 STOKES STREET, 5TH FL BELL GATEWAY BUILDING	TORONTO	ON	CA	M6J1H4
118847839RR0001	CENTRE MEDICO-SOCIAL DESALABERRY DISTRICT HEALTH CENTRE	Revoked-Voluntary	Charity	1998-08-08		0001	Other purposes beneficial to the community	0100	P.O. BOX 320 	ST. PIERRE	MB	CA	R0A1V0
106903073RR0001	CENTRETOWN COMMUNITY HEALTH CENTRE INC.	Registered	Charity	1974-02-18		0001	Other purposes beneficial to the community	0100	420 COOPER ST 	OTTAWA	ON	CA	K2P2N6
897318887RR0001	CEREAL & DISTRICT HEALTH CARE SOCIETY	Revoked-Failure to File	Charity	2003-05-24		0001	Other purposes beneficial to the community	0100	BOX 177 	CEREAL	AB	CA	T0J0N0
767951098RR0001	CHANGE Health Alberta	Registered	Charity	2018-04-30		0001	Other purposes beneficial to the community	0110	11515 77 AVE NW 	EDMONTON	AB	CA	T6G0M2
139433155RR0001	CHARA HEALTH CARE SOCIETY	Revoked-Voluntary	Charity	2000-05-20		0001	Other purposes beneficial to the community	0100	749 WEST 33RD AVENUE 	VANCOUVER	BC	CA	V5Z2K4
890041742RR0001	CHARLOTTE COUNTY BRANCH OF THE CANADIAN MENTAL HEALTH ASSOCIATION	Revoked-Failure to File	Charity	1996-03-23		0001	Other purposes beneficial to the community	0100	202-403 REGENT ST 	FREDERICTON	NB	CA	E3B3X5
885233940RR0001	CHASE AND DISTRICT HEALTH SERVICES FOUNDATION	Registered	Charity	1997-04-01		0001	Other purposes beneficial to the community	0210	P.O. BOX 1099 	CHASE	BC	CA	V0E1M0
857491526RR0001	CHATHAM-KENT FAMILY HEALTH TEAM	Registered	Charity	2006-08-01		0001	Other purposes beneficial to the community	0100	207 - 20 EMMA ST 	CHATHAM	ON	CA	N7L5K5
867413460RR0001	CHATHAM-KENT HEALTH ALLIANCE FOUNDATION	Registered	Charity	1998-09-25		0002	Other purposes beneficial to the community	0210	PO BOX 2030 STN MAIN 	CHATHAM	ON	CA	N7M5L9
860279322RR0001	CHATHAM-KENT HEALTH ALLIANCE HELPING HANDS AUXILIARY	Registered	Charity	2003-04-17		0002	Other purposes beneficial to the community	0110	80 GRAND AVENUE WEST 	CHATHAM	ON	CA	N7M5L9
118850965RR0001	CHEDOKE HEALTH FOUNDATION	Revoked-Voluntary	Charity	2016-09-24		0002	Other purposes beneficial to the community	0100	106 - 293 WELLINGTON ST N 	HAMILTON	ON	CA	L8L8E7
118851112RR0001	CHEMAINUS HEALTH CARE AUXILIARY	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0110	9867 MAPLE ST 	CHEMAINUS	BC	CA	V0R1K1
888989399RR0001	CHEMAINUS HEALTH CARE FOUNDATION	Registered	Charity	1988-01-14		0002	Other purposes beneficial to the community	0210	PO BOX 462 	CHEMAINUS	BC	CA	V0R1K0
870366473RR0001	CHERRYHILL HEALTH PROMOTION AND INFORMATION CENTRE INC	Revoked-Voluntary	Charity	2003-05-31		0001	Other purposes beneficial to the community	0150	ST. JOSEPH'S HEALTH CARE 801 COMMISSIONERS ROAD EAST	LONDON	ON	CA	N6C5J1
883290769RR0001	CHILDREN'S & WOMEN'S HEALTH CENTRE OF BRITISH COLUMBIA	Revoked-Voluntary	Charity	2002-12-21		0001	Other purposes beneficial to the community	0100	C3 - 4500 OAK ST. 	VANCOUVER	BC	CA	V6H3V4
891320764RR0001	CHILDREN'S HEALTH CARE NETWORK OF WINDSOR AND ESSEX COUNTY	Revoked-Failure to File	Charity	2004-02-21		0001	Relief of Poverty	0001	3063 WALKER RD 	WINDSOR	ON	CA	N8W3R4
891514044RR0001	CHILDREN'S HEALTH EDUCATION AND RELIEF INTERNATIONAL CANADA	Registered	Charity	1982-01-01		0001	Relief of Poverty	0001	12 KENTON DR 	NORTH YORK	ON	CA	M2R2H7
118852482RR0001	CHILDREN'S HEALTH FOUNDATION	Registered	Charity	1967-01-01		0002	Other purposes beneficial to the community	0100	345 WESTMINSTER AVE 	LONDON	ON	CA	N6C4V3
890018146RR0001	CHILDREN'S HEALTH INFORMATION ABOUT LIVER DISEASE	Revoked-Failure to File	Charity	1991-10-26		0001	Other purposes beneficial to the community	0100	56 MANNING CRESCENT 	NEWMARKET	ON	CA	L3Y6H4
129335881RR0001	CHILDREN'S MENTAL HEALTH ONTARIO/SANTE MENTALE POUR ENFANTS ONTARIO	Registered	Charity	1976-01-01		0001	Other purposes beneficial to the community	0100	2305-180 DUNDAS ST W 	TORONTO	ON	CA	M5G1Z8
896148947RR0001	CHILDREN'S MENTAL HEALTH SERVICES (SERVING CHILDREN AND FAMILIES IN HASTINGS AND PRINCE EDWARD COUNTIES)	Registered	Charity	1996-04-01		0001	Relief of Poverty	0001	203 - 250 SIDNEY ST 	BELLEVILLE	ON	CA	K8P3Z3
860541713RR0001	CHINESE COMMUNITY HEALTH SOCIETY	Registered	Charity	2004-04-29		0001	Other purposes beneficial to the community	0110	234 HASTINGS ST E 	VANCOUVER	BC	CA	V6A1P1
889859773RR0001	CHINESE SENIORS HEALTH & RECREATION ASSOCIATION OF ONTARIO	Revoked-Failure to File	Charity	2024-02-24		0001	Relief of Poverty	0001	192 MCCAUL STREET 	TORONTO	ON	CA	M5T1W5
886489962RR0001	CHOICES IN HEALTH CARE ASSISTANCE SOCIETY	Revoked-Voluntary	Charity	2006-01-07		0001	Other purposes beneficial to the community	0110	#1 - 2558 FERGUSON RD 	SAANICHTON	BC	CA	V8M1V7
899441687RR0001	CHRISTIAN HEALTH AND HEALING COUNCIL INC	Revoked-Failure to File	Charity	2000-03-11		0001	Advancement of Religion	0070	820 COTTONWOOD RD 	WINNIPEG	MB	CA	R2J1G1
106692833RR0001	CHRISTIAN HEALTH ASSOCIATION OF ALBERTA	Registered	Charity	1988-04-01		0001	Other purposes beneficial to the community	0110	160 - 10130 112 ST NW 	EDMONTON	AB	CA	T5K2K4
887521797RR0001	CHURCHILL HEALTH CENTRE	Revoked-Voluntary	Charity	1998-09-26		0001	Other purposes beneficial to the community	0100	CHURCHILL HEALTH CENTRE 	CHURCHILL	MB	CA	R0B0E0
866372873RR0001	CLARESHOLM AND DISTRICT HEALTH FOUNDATION	Registered	Charity	1999-05-01		0002	Other purposes beneficial to the community	0210	PO BOX 2638 	CLARESHOLM	AB	CA	T0L0T0
865891345RR0001	CLEARBROOK HEALTH ALERT SOCIETY	Revoked-Voluntary	Charity	2005-02-19		0001	Other purposes beneficial to the community	0110	ANNE BELL 3436 CRESTON DR.	ABBOTSFORD	BC	CA	V2T5B9
129560173RR0001	CMHA Huron Perth Addiction and Mental Health Services	Registered	Charity	1998-04-01		0001	Other purposes beneficial to the community	0100	10 DOWNIE ST 	STRATFORD	ON	CA	N5A7K4
861508018RR0001	COAST MENTAL HEALTH FOUNDATION	Registered	Charity	2001-10-05		0002	Other purposes beneficial to the community	0210	293 11TH AVE E 	VANCOUVER	BC	CA	V5T2C4
898454350RR0002	COBEQUID COMMUNITY HEALTH CENTRE FOUNDATION	Registered	Charity	1995-04-01		0002	Other purposes beneficial to the community	0210	2203 - 40 FREER LANE 	LOWER SACKVILLE	NS	CA	B4C0A2
871778064RR0001	COBEQUID EDUCATIONAL CENTRE & COMMUNITY YOUTH HEALTH & SUPPORT CENTRE ASSOCIATION	Revoked-Voluntary	Charity	2005-09-24		0001	Relief of Poverty	0001	34 LORNE ST 	TRURO	NS	CA	B2N3K3
889971792RR0002	COLCHESTER EAST HANTS BRANCH CANADIAN MENTAL HEALTH ASSOCIATION	Registered	Charity	2001-12-13		0001	Other purposes beneficial to the community	0110	P.O. BOX 1413 	TRURO	NS	CA	B2N5V2
130373160RR0001	COMMUNITICARE HEALTH	Registered	Charity	1973-06-15		0001	Other purposes beneficial to the community	0160	2445 LAKE SHORE BLVD W 	ETOBICOKE	ON	CA	M8V1C5
898350087RR0001	COMMUNITY HEALTH ASSOCIATES OF BC	Revoked-Voluntary	Charity	2018-09-01		0001	Other purposes beneficial to the community	0110	PO BOX 31 	RISKE CREEK	BC	CA	V0L1T0
852859198RR0001	COMMUNITY HEALTH CENTRES OF NORTHUMBERLAND	Registered	Charity	2008-04-01		0001	Other purposes beneficial to the community	0100	99 TORONTO ROAD 	PORT HOPE	ON	CA	L1A3S4
118870617RR0001	COMMUNITY HEALTH SERVICES ASSOCIATION (REGINA) LTD.	Registered	Charity	1987-04-01		0001	Other purposes beneficial to the community	0100	1106 WINNIPEG STREET 	REGINA	SK	CA	S4R1J6
887562239RR0001	COMMUNITY HEALTH SERVICES FOUNDATION HALIBURTON NORTH HASTINGS NORTHUMBERLAND PETERBOROUGH VICTORIA	Revoked-Failure to File	Charity	2005-04-23		0001	Other purposes beneficial to the community	0110	1596 WESTBROOK DRIVE 	PETERBOROUGH	ON	CA	K9J6R7
867719437RR0001	COMMUNITY HEALTHCARING KITCHENER-WATERLOO	Registered	Charity	2000-04-12		0001	Other purposes beneficial to the community	0100	44 FRANCIS STREET S 	KITCHENER	ON	CA	N2G2A2
868065731RR0001	COMMUNITY HOLISTIC HEALTH COUNSELLORS	Revoked-Failure to File	Charity	2001-12-01		0001	Other purposes beneficial to the community	0110	9 SOMERS AVENUE 	TORONTO	ON	CA	M4J1W2
764244752RR0001	COMMUNITY IS MEDICINE MENTAL HEALTH SOCIETY	Registered	Charity	2024-02-09		0001	Other purposes beneficial to the community	0100	2736 SHELBOURNE ST 	VICTORIA	BC	CA	V8R4M2
892652769RR0001	COMMUNITY MENTAL HEALTH COMMITTEE	Revoked-Failure to File	Charity	2001-05-05		0001	Relief of Poverty	0001	BOX 758 	FAIRVIEW	AB	CA	T0H1L0
130287204RR0001	COMMUNITY MENTAL HEALTH INC	Revoked-Failure to File	Charity	2000-06-24		0001	Other purposes beneficial to the community	0100	131 QUEEN ST UNIT 3 	WOODSTOCK	NB	CA	E7M2M8
895008746RR0001	COMMUNITY MENTAL HEALTH INITIATIVE INC.	Registered	Charity	1997-05-15		0001	Other purposes beneficial to the community	0100	PO BOX 2006 STN MAIN 	CORNER BROOK	NL	CA	A2H6J8
125658534RR0001	COMMUNITY MENTAL HEALTH PROGRAM OF HASTINGS AND PRINCE EDWARD COUNTIES	Revoked-Voluntary	Charity	2005-09-24		0001	Relief of Poverty	0001	135 VICTORIA AVE. 2ND FLOOR	BELLEVILLE	ON	CA	K8N2B1
103929162RR0001	COMPASS COMMUNITY HEALTH	Registered	Charity	1995-04-01		0001	Other purposes beneficial to the community	0100	438 HUGHSON ST N 	HAMILTON	ON	CA	L8L4N5
888508967RR0001	COMPLETE MENTAL HEALTH ASSOCIATION	Revoked-Voluntary	Charity	2006-09-23		0001	Relief of Poverty	0001	3105 28TH AVENUE 	VERNON	BC	CA	V1T1X8
136054095RR0001	CONNECTWELL COMMUNITY HEALTH	Registered	Charity	1993-04-01		0001	Other purposes beneficial to the community	0100	30 BENNETT ST 	CARLETON PLACE	ON	CA	K7C4J9
106971476RR0001	CONSUMER HEALTH ORGANIZATION OF CANADA	Registered	Charity	1989-11-25		0001	Other purposes beneficial to the community	0100	355 ST CLAIR AVENUE WEST SUITE 1901	TORONTO	ON	CA	M5P1N5
891053795RR0001	CONSUMER HEALTH ORGANIZATION OF MANITOBA (CHOM)	Revoked-Failure to File	Charity	2008-10-04		0001	Other purposes beneficial to the community	0100	DR. PAUL CONYETTE 374 RIVER AVE., SUITE 101	WINNIPEG	MB	CA	R3L0E4
840154470RR0001	CONTEMPORARY SENIORS HEALTH MANAGEMENT INC.	Registered	Charity	2005-05-12		0001	Other purposes beneficial to the community	0150	2201 - 133 TORRESDALE AVE 	NORTH YORK	ON	CA	M2R3T2
118875582RR0001	COORDINATING AND ADVISORY COUNCIL FOR MENTAL HEALTH SERVICES IN YORK REGION	Revoked-Voluntary	Charity	1999-10-16		0001	Other purposes beneficial to the community	0110	171 MAIN ST SOUTH SUITE #6 	NEWMARKET	ON	CA	L3Y3Y9
864332390RR0001	CORNISH HEALTH SERVICES FOUNDATION INC.	Registered	Charity	2001-01-01		0002	Other purposes beneficial to the community	0210	99 CORNISH AVE 	WINNIPEG	MB	CA	R3C1A2
857298137RR0001	CORNWALLIS DISTRICT HEALTH & RECREATION SOCIETY	Revoked-Voluntary	Charity	2006-09-23		0001	Other purposes beneficial to the community	0200	PO BOX 499 	CANNING	NS	CA	B0P1H0
891661043RR0001	CORONACH AND AREA HEALTH CARE FOUNDATION	Registered	Charity	1995-06-12		0002	Other purposes beneficial to the community	0210	PO BOX 150 	CORONACH	SK	CA	S0H0Z0
118876333RR0001	CORONATION HEALTH CENTRE FOUNDATION	Registered	Charity	1987-10-29		0002	Other purposes beneficial to the community	0210	MAIL BAG 500 	CORONATION	AB	CA	T0C1C0
878973007RR0001	CORTES COMMUNITY HEALTH ASSOCIATION	Registered	Charity	2004-07-30		0001	Other purposes beneficial to the community	0100	P. O. BOX 59 MANSON'S LANDING	CORTES ISLAND	BC	CA	V0P1K0
801649062RR0001	COSCO Seniors' Health and Wellness Institute Society	Registered	Charity	2010-08-19		0001	Other purposes beneficial to the community	0150	821 TWENTIETH ST 	NEW WESTMINSTER	BC	CA	V3M4W7
121969661RR0001	COTA HEALTH	Registered	Charity	1976-01-01		0001	Relief of Poverty	0001	201 - 550 QUEEN ST E 	TORONTO	ON	CA	M5A1V2
121269336RR0001	COUNCIL ON FAMILY HEALTH IN CANADA	Revoked-Voluntary	Charity	2009-11-21		0001	Other purposes beneficial to the community	0110	1111 PRINCE OF WALES DRIVE SUITE 406	OTTAWA	ON	CA	K2C3T2
107853517RR0001	COUNTRY ROADS COMMUNITY HEALTH CENTRE	Registered	Charity	1988-04-01		0001	Other purposes beneficial to the community	0100	4319 COVE RD 	PORTLAND	ON	CA	K0G1V0
139764476RR0001	COVENANT HEALTH	Registered	Charity	1992-06-26		0001	Other purposes beneficial to the community	0210	250 - 10130 112 ST NW 	EDMONTON	AB	CA	T5K2K4
705668499RR0001	CPG COMMUNITY HEALTH ASSOCIATION	Revoked-Failure to File	Charity	2024-02-24		0001	Other purposes beneficial to the community	0110	8150 MCPHAIL RD 	SAANICHTON	BC	CA	V8M1S3
138786116RR0001	CRAIK AND DISTRICT HEALTH CENTRE FOUNDATION INC	Registered	Charity	1994-02-01		0001	Relief of Poverty	0001	BOX 208 	CRAIK	SK	CA	S0G0V0
118878727RR0001	CRANBROOK HEALTH CARE AUXILIARY	Registered	Charity	1980-01-01		0001	Other purposes beneficial to the community	0110	PO BOX 573 	CRANBROOK	BC	CA	V1C4J1
891603565RR0001	CRAWFORD BAY AND DISTRICT HEALTH SERVICES SOCIETY	Revoked-Failure to File	Charity	1989-06-11		0001	Relief of Poverty	0001	BOX 98 	CRAWFORD BAY	BC	CA	V0B1E0
124072513RR0019	CROSSROADS REGIONAL HEALTH AUTHORITY	Revoked-Voluntary	Charity	2005-04-09		0001	Other purposes beneficial to the community	0110	DAVID THOMPSON HEALTH REGION 5010 BLDG. #208, 5010-43 ST.	RED DEER	AB	CA	T4N6H2
892507443RR0001	CROWSNEST PASS HEALTH FOUNDATION	Registered	Charity	1996-08-28		0002	Other purposes beneficial to the community	0210	BOX 455 	BLAIRMORE	AB	CA	T0K0E0
137309340RR0001	CUDWORTH COMMUNITY HEALTH SERVICES FOUNDATION INC	Revoked-Voluntary	Charity	2010-10-16		0001	Other purposes beneficial to the community	0100	LLOYD WEDEWER BOX 278	CUDWORTH	SK	CA	S0K1B0
893299966RR0001	CUMBERLAND HEALTH CARE FOUNDATION	Registered	Charity	1993-04-01		0002	Other purposes beneficial to the community	0210	19428 HIGHWAY 2 	AMHERST	NS	CA	B4H1N6
123698904RR0001	Davenport-Perth Neighbourhood & Community Health Centre	Registered	Charity	1987-04-01		0001	Relief of Poverty	0001	1900 DAVENPORT ROAD 	TORONTO	ON	CA	M6N1B7
810631150RR0001	David Thompson Health Region Trust	Revoked-Voluntary	Charity	2019-07-06		0002	Other purposes beneficial to the community	0210	10301 SOUTH PORT ROAD SW 	CALGARY	AB	CA	T2W1S7
825298540RR0001	Denman Health Centre Society	Registered	Charity	2007-09-01		0001	Other purposes beneficial to the community	0100	4265 EAST ROAD 	DENMAN ISLAND	BC	CA	V0R1T0
822653291RR0001	Digby Clare Mental Health Volunteers Association	Revoked-Failure to File	Charity	2019-03-23		0001	Other purposes beneficial to the community	0110	9 MONTEQUE ROW, #1 P.O. BOX 2245	DIGBY	NS	CA	B0V1A0
769376088RR0001	Doctors Nova Scotia Healthy Tomorrow Foundation	Registered	Charity	2018-09-01		0001	Advancement of Education	0011	25 SPECTACLE LAKE DRIVE 	DARTMOUTH	NS	CA	B3B1X7
700475809RR0001	Don Mills Health & Wellness Centre	Registered	Charity	2023-10-10		0001	Other purposes beneficial to the community	0100	200 - 20 WYNFORD DR 	NORTH YORK	ON	CA	M3C1J4
852498286RR0001	Dots NB - for Kids' Mental Health Inc.	Revoked-Voluntary	Charity	2016-01-16		0001	Other purposes beneficial to the community	0100	10 - 535B BEAVERBROOK CRT 	FREDERICTON	NB	CA	E3B1X6
816455463RR0001	Dr. John Dougan Centre for Mental Health Promotion	Revoked-Voluntary	Charity	2021-12-04		0001	Other purposes beneficial to the community	0100	268 WOOLWICH ST 	GUELPH	ON	CA	N1H3W1
867152134RR0001	Dr. Noble Irwin Regional Healthcare Foundation Inc.	Registered	Charity	1998-10-21		0002	Other purposes beneficial to the community	0210	2051 SASKATCHEWAN DR 	SWIFT CURRENT	SK	CA	S9H0X6
815230883RR0001	Dresden Community Healthcare Foundation	Registered	Charity	2012-10-26		0001	Other purposes beneficial to the community	0100	PO BOX 479 	DRESDEN	ON	CA	N0P1M0
890802366RR0001	Dryden Regional Health Services Foundation	Registered	Charity	1991-04-01		0002	Other purposes beneficial to the community	0210	P.O. BOX 3003 	DRYDEN	ON	CA	P8N2Z6
879705119RR0001	DARTMOUTH HIGH SCHOOL TEEN HEALTH CENTRE SOCIETY	Revoked-Failure to File	Charity	2005-06-04		0001	Other purposes beneficial to the community	0160	95 VICTORIA ROAD 	DARTMOUTH	NS	CA	B3A1V2
137303368RR0001	DASH DEDICATED ACTION FOR SCHOOL HEALTH SOCIETY	Revoked-Failure to File	Charity	2025-09-20		0001	Other purposes beneficial to the community	0100	PO BOX 18168 RPO TSAWWASSEN 	DELTA	BC	CA	V4L2M4
890908791RR0001	DAVIDSON DISTRICT HEALTH FOUNDATION INC	Revoked-Voluntary	Charity	2002-03-02		0002	Other purposes beneficial to the community	0210	BOX 724 	DAVIDSON	SK	CA	S0G1A0
885678631RR0001	DAWSON CREEK AND DISTRICT AUXILIARY SOCIETY OF LOCAL HEALTH	Registered	Charity	1995-01-01		0002	Other purposes beneficial to the community	0210	11100 13 ST 	DAWSON CREEK	BC	CA	V1G3W8
889981221RR0001	DE DWA DA DEHS NYES ABORIGINAL HEALTH CENTRE	Registered	Charity	2000-04-01		0001	Other purposes beneficial to the community	0100	678 MAIN ST EAST 	HAMILTON	ON	CA	L8M1K2
865988364RR0001	DELHI IMPERIAL PLACE COMMUNITY HEALTH CENTRE INC.	Registered	Charity	2001-01-01		0001	Other purposes beneficial to the community	0100	105 MAIN ST 	DELHI	ON	CA	N4B2L8
888037157RR0001	DELORAINE AND AREA HEALTHY COMMUNITIES INC	Revoked-Voluntary	Charity	1999-10-16		0001	Other purposes beneficial to the community	0110	BOX 447 	DELORAINE	MB	CA	R0M0M0
857492003RR0001	DELORAINE HEALTH AUXILIARY	Registered	Charity	2004-05-07		0002	Other purposes beneficial to the community	0210	P. O. BOX 804 	DELORAINE	MB	CA	R0M0M0
118884063RR0001	DELORAINE HEALTH CENTRE	Revoked-Voluntary	Charity	1998-06-06		0001	Other purposes beneficial to the community	0100	109 KELLET ST 	DELORAINE	MB	CA	R0M0M0
891604779RR0001	DELTA CHILD HEALTH SOCIETY	Revoked-Failure to File	Charity	2000-06-24		0001	Other purposes beneficial to the community	0100	5439 WESTMINSTER AVE 	LADNER	BC	CA	V4K2J4
129844114RR0001	DELTA HOSPITAL AND COMMUNITY HEALTH FOUNDATION	Registered	Charity	1989-04-01		0002	Other purposes beneficial to the community	0210	5800 MOUNTAIN VIEW BLVD 	DELTA	BC	CA	V4K3V6
877160564RR0001	DENTAL TREATMENT ASSISTANCE FUND OF THE KINGSTON, FRONTENAC AND LENNOX AND ADDINGTON HEALTH UNIT	Registered	Charity	1985-08-16		0001	Relief of Poverty	0001	221 PORTSMOUTH AVE 	KINGSTON	ON	CA	K7M1V5
